,0,1,2
0,CreditScore,-0.046296270419932894,0.046296270419932894
1,Age,0.8016873506917891,0.8016873506917891
2,Tenure,-0.0013182767684569007,0.0013182767684569007
3,Balance,0.19060222030696933,0.19060222030696933
4,NumOfProducts,-0.026334750186440176,0.026334750186440176
5,HasCrCard,-0.042868984689442086,0.042868984689442086
6,IsActiveMember,-0.4816758121516233,0.4816758121516233
7,EstimatedSalary,0.02579012387458076,0.02579012387458076
8,Point Earned,-0.02820028364949556,0.02820028364949556
9,x0_Germany,0.7312305809409265,0.7312305809409265
10,x0_Spain,0.07007450847622401,0.07007450847622401
11,x1_Male,-0.5865858070944376,0.5865858070944376
12,x2_2,0.16559805688704793,0.16559805688704793
13,x2_3,-0.0323206022127889,0.0323206022127889
14,x2_4,-0.008015683471647595,0.008015683471647595
15,x2_5,-0.015281306999602638,0.015281306999602638
16,x3_GOLD,-0.10388779670733736,0.10388779670733736
17,x3_PLATINUM,-0.04695161919310767,0.04695161919310767
18,x3_SILVER,-0.021955080764875384,0.021955080764875384
